size	encoders	weighted_correct	weighted_acc	weighted_kappa	majority_correct	majority_resolved	majority_acc_resolved	majority_kappa_resolved	abstain_rate
7	gemma,gpt_oss_20b,granite,rinna_bilingual_4b,rinna_bilingual_4b_jpfull30,rinna_jp_3_6b,rinna_jp_3_6b_jpfull	89	0.536144578313253	0.43840070298769773	32	45	0.7111111111111111	0.6441605839416058	0.7289156626506024
7	gemma,gpt_oss_20b,haiku,ministral,rinna_bilingual_4b_jpfull30,rinna_jp_3_6b,rinna_jp_3_6b_jpfull30	89	0.536144578313253	0.4376842197879547	47	68	0.6911764705882353	0.6236162361623616	0.5903614457831325
8	gemma,gpt_oss_20b,granite,haiku,ministral,qwen,rinna_jp_3_6b,rinna_jp_3_6b_jpfull	89	0.536144578313253	0.43721380767876006	28	39	0.717948717948718	0.648360655737705	0.7650602409638554
9	gemma,gpt_oss_20b,granite,haiku,ministral,rinna_bilingual_4b_jpfull,rinna_jp_3_6b,rinna_jp_3_6b_jpfull,rinna_jp_3_6b_jpfull30	89	0.536144578313253	0.43795620437956206	30	43	0.6976744186046512	0.6181693989071038	0.7409638554216867
7	gemma,gpt_oss_20b,haiku,ministral,qwen,rinna_bilingual_4b_jpfull,rinna_jp_3_6b	89	0.536144578313253	0.4392629962711121	44	63	0.6984126984126984	0.6337209302325582	0.6204819277108433
8	gemma,gpt_oss_20b,granite,ministral,qwen,rinna_bilingual_4b,rinna_jp_3_6b,rinna_jp_3_6b_jpfull	89	0.536144578313253	0.4363203386840713	20	26	0.7692307692307693	0.7132352941176471	0.8433734939759037
7	gemma,gpt_oss_20b,granite,haiku,ministral,rinna_bilingual_4b_jpfull,rinna_jp_3_6b_jpfull30	89	0.536144578313253	0.43723858583190234	42	64	0.65625	0.5770501652147793	0.6144578313253012
7	gemma,gpt_oss_20b,haiku,ministral,qwen,rinna_jp_3_6b_jpfull,rinna_jp_3_6b_jpfull30	89	0.536144578313253	0.4379067722075637	44	71	0.6197183098591549	0.5256124721603563	0.572289156626506
7	gemma,gpt_oss_20b,granite,haiku,ministral,rinna_jp_3_6b_jp,rinna_jp_3_6b_jpfull30	89	0.536144578313253	0.4374119718309859	44	73	0.6027397260273972	0.5077888863055104	0.5602409638554218
8	gemma,gpt_oss_20b,granite,haiku,ministral,rinna_jp_3_6b,rinna_jp_3_6b_jp,rinna_jp_3_6b_jpfull30	89	0.536144578313253	0.43736244387710177	26	38	0.6842105263157895	0.5957446808510638	0.7710843373493976
7	gemma,gpt_oss_20b,haiku,ministral,qwen,rinna_bilingual_4b_jpfull30,rinna_jp_3_6b_jpfull30	89	0.536144578313253	0.43758525102301227	42	65	0.6461538461538462	0.5542635658914729	0.608433734939759
8	gemma,gpt_oss_20b,haiku,ministral,qwen,rinna_bilingual_4b_jpfull30,rinna_jp_3_6b,rinna_jp_3_6b_jpfull30	89	0.536144578313253	0.43765948086229656	25	32	0.78125	0.7237977805178792	0.8072289156626506
4	gemma,qwen,rinna_jp_3_6b,rinna_jp_3_6b_jpfull	89	0.536144578313253	0.4399018447920774	8	17	0.47058823529411764	0.37037037037037035	0.8975903614457832
6	gemma,gpt_oss_20b,granite,qwen,rinna_jp_3_6b,rinna_jp_3_6b_jpfull30	89	0.536144578313253	0.43656880895706607	26	33	0.7878787878787878	0.7347876004592422	0.8012048192771084
8	gemma,gpt_oss_20b,haiku,ministral,qwen,rinna_jp_3_6b,rinna_jp_3_6b_jpfull,rinna_jp_3_6b_jpfull30	89	0.536144578313253	0.4382032348804501	21	29	0.7241379310344828	0.649016641452345	0.8253012048192772
9	gemma,gpt_oss_20b,granite,haiku,ministral,qwen,rinna_bilingual_4b_jpfull30,rinna_jp_3_6b,rinna_jp_3_6b_jpfull30	89	0.536144578313253	0.43704029949350365	38	52	0.7307692307692307	0.6655948553054662	0.6867469879518072
5	gemma,gpt_oss_20b,ministral,rinna_bilingual_4b,rinna_jp_3_6b_jpfull	89	0.536144578313253	0.4399018447920774	40	68	0.5882352941176471	0.5017011253598533	0.5903614457831325
6	gemma,gpt_oss_20b,haiku,ministral,rinna_bilingual_4b_jpfull30,rinna_jp_3_6b_jpfull30	89	0.536144578313253	0.43760999648011256	36	52	0.6923076923076923	0.6133828996282529	0.6867469879518072
5	gemma,gpt_oss_20b,ministral,qwen,rinna_jp_3_6b	89	0.536144578313253	0.43999999999999995	48	80	0.6	0.5151515151515151	0.5180722891566265
7	gemma,haiku,ministral,qwen,rinna_bilingual_4b_jpfull,rinna_jp_3_6b_jpfull,rinna_jp_3_6b_jpfull30	89	0.536144578313253	0.44002453342679393	32	54	0.5925925925925926	0.4991568296795953	0.6746987951807228
10	gemma,gpt_oss_20b,haiku,ministral,qwen,rinna_bilingual_4b_jpfull,rinna_bilingual_4b_jpfull30,rinna_jp_3_6b,rinna_jp_3_6b_jpfull,rinna_jp_3_6b_jpfull30	89	0.536144578313253	0.44078400490003067	21	27	0.7777777777777778	0.7152899824253076	0.8373493975903614
6	gemma,gpt_oss_20b,haiku,ministral,rinna_bilingual_4b_jpfull,rinna_jp_3_6b_jpfull	89	0.536144578313253	0.43923839606914084	24	33	0.7272727272727273	0.6526315789473685	0.8012048192771084
6	gemma,gpt_oss_20b,granite,ministral,rinna_jp_3_6b,rinna_jp_3_6b_jpfull	89	0.536144578313253	0.43617115130127926	20	32	0.625	0.5193992490613266	0.8072289156626506
9	gemma,gpt_oss_20b,haiku,ministral,rinna_bilingual_4b_jpfull30,rinna_jp_3_6b,rinna_jp_3_6b_jp,rinna_jp_3_6b_jpfull,rinna_jp_3_6b_jpfull30	89	0.536144578313253	0.43847471774370683	26	41	0.6341463414634146	0.5323193916349811	0.7530120481927711
9	gemma,gpt_oss_20b,granite,haiku,ministral,qwen,rinna_bilingual_4b_jpfull,rinna_jp_3_6b,rinna_jp_3_6b_jpfull30	89	0.536144578313253	0.4374367325381805	36	47	0.7659574468085106	0.7110117384013416	0.7168674698795181
4	gemma,ministral,qwen,rinna_bilingual_4b	89	0.536144578313253	0.43881986214163415	22	33	0.6666666666666666	0.5837155963302751	0.8012048192771084
8	gemma,gpt_oss_20b,haiku,ministral,rinna_bilingual_4b_jpfull30,rinna_jp_3_6b_jp,rinna_jp_3_6b_jpfull,rinna_jp_3_6b_jpfull30	89	0.536144578313253	0.43837602706621537	25	38	0.6578947368421053	0.5577439570277529	0.7710843373493976
5	gemma,gpt_oss_20b,granite,qwen,rinna_jp_3_6b_jpfull30	89	0.536144578313253	0.43562345460967866	51	85	0.6	0.5018100327529736	0.4879518072289156
5	gemma,gpt_oss_20b,granite,rinna_bilingual_4b,rinna_jp_3_6b	89	0.536144578313253	0.4375852510230124	49	79	0.620253164556962	0.5370189490134791	0.5240963855421688
6	gemma,gpt_oss_20b,granite,haiku,ministral,rinna_jp_3_6b_jpfull30	89	0.536144578313253	0.4371394601259412	38	59	0.6440677966101694	0.5601703940362086	0.6445783132530121
5	gemma,gpt_oss_20b,granite,rinna_jp_3_6b,rinna_jp_3_6b_jp	89	0.536144578313253	0.4374367325381805	46	67	0.6865671641791045	0.6150478796169631	0.5963855421686747
9	gemma,gpt_oss_20b,granite,haiku,ministral,qwen,rinna_jp_3_6b,rinna_jp_3_6b_jp,rinna_jp_3_6b_jpfull30	89	0.536144578313253	0.43701550387596877	38	53	0.7169811320754716	0.646980461811723	0.6807228915662651
9	gemma,gpt_oss_20b,granite,haiku,ministral,qwen,rinna_bilingual_4b_jpfull,rinna_bilingual_4b_jpfull30,rinna_jp_3_6b_jpfull30	89	0.536144578313253	0.43765948086229667	39	55	0.7090909090909091	0.6357615894039734	0.6686746987951807
5	gemma,gpt_oss_20b,granite,rinna_bilingual_4b_jpfull30,rinna_jp_3_6b	89	0.536144578313253	0.43689149301731367	47	69	0.6811594202898551	0.6146230007616147	0.5843373493975903
9	gemma,gpt_oss_20b,granite,haiku,ministral,qwen,rinna_bilingual_4b_jpfull30,rinna_jp_3_6b,rinna_jp_3_6b_jpfull	89	0.536144578313253	0.43758525102301216	33	46	0.717391304347826	0.6498829039812646	0.7228915662650602
7	gemma,granite,haiku,ministral,rinna_bilingual_4b_jpfull30,rinna_jp_3_6b_jp,rinna_jp_3_6b_jpfull	88	0.5301204819277109	0.4302560943412831	37	56	0.6607142857142857	0.5726907630522089	0.6626506024096386
9	gemma,gpt_oss_20b,granite,haiku,ministral,qwen,rinna_bilingual_4b_jp,rinna_jp_3_6b_jp,rinna_jp_3_6b_jpfull30	88	0.5301204819277109	0.4303563572371315	39	63	0.6190476190476191	0.5187778485041374	0.6204819277108433
10	gemma,gpt_oss_20b,granite,haiku,ministral,qwen,rinna_bilingual_4b,rinna_jp_3_6b,rinna_jp_3_6b_jp,rinna_jp_3_6b_jpfull	88	0.5301204819277109	0.4304565848508841	21	28	0.75	0.6883942766295708	0.8313253012048193
10	gemma,gpt_oss_20b,granite,haiku,ministral,qwen,rinna_bilingual_4b,rinna_jp_3_6b,rinna_jp_3_6b_jp,rinna_jp_3_6b_jpfull30	88	0.5301204819277109	0.4299550937747645	25	33	0.7575757575757576	0.6845878136200717	0.8012048192771084
5	gemma,gpt_oss_20b,ministral,rinna_jp_3_6b,rinna_jp_3_6b_jpfull30	88	0.5301204819277109	0.43235423060061373	46	77	0.5974025974025974	0.5079365079365079	0.536144578313253
5	gemma,gpt_oss_20b,ministral,rinna_bilingual_4b_jpfull30,rinna_jp_3_6b	88	0.5301204819277109	0.4330501795253525	45	69	0.6521739130434783	0.5756022552537161	0.5843373493975903
8	gemma,haiku,ministral,qwen,rinna_bilingual_4b_jpfull,rinna_jp_3_6b,rinna_jp_3_6b_jpfull,rinna_jp_3_6b_jpfull30	88	0.5301204819277109	0.43272727272727274	18	26	0.6923076923076923	0.6155268022181145	0.8433734939759037
9	gemma,gpt_oss_20b,granite,haiku,ministral,qwen,rinna_bilingual_4b_jp,rinna_bilingual_4b_jpfull30,rinna_jp_3_6b_jpfull30	88	0.5301204819277109	0.4297793631919673	40	58	0.6896551724137931	0.6084021005251312	0.6506024096385542
9	gemma,gpt_oss_20b,granite,haiku,ministral,qwen,rinna_bilingual_4b_jp,rinna_bilingual_4b_jpfull,rinna_jp_3_6b_jpfull30	88	0.5301204819277109	0.43008054931995243	40	57	0.7017543859649122	0.6258687258687259	0.6566265060240963
7	gemma,gpt_oss_20b,haiku,ministral,qwen,rinna_bilingual_4b_jpfull,rinna_jp_3_6b_jpfull30	88	0.5301204819277109	0.43183114660581856	42	63	0.6666666666666666	0.5835694050991501	0.6204819277108433
7	gemma,gpt_oss_20b,haiku,ministral,qwen,rinna_bilingual_4b_jpfull,rinna_jp_3_6b_jpfull	88	0.5301204819277109	0.43240399789584427	38	59	0.6440677966101694	0.558288770053476	0.6445783132530121
9	gemma,gpt_oss_20b,granite,haiku,ministral,qwen,rinna_bilingual_4b_jpfull,rinna_bilingual_4b_jpfull30,rinna_jp_3_6b_jpfull	88	0.5301204819277109	0.4308071039212238	35	53	0.660377358490566	0.5823117338003503	0.6807228915662651
9	gemma,gpt_oss_20b,granite,haiku,ministral,rinna_bilingual_4b,rinna_bilingual_4b_jpfull30,rinna_jp_3_6b,rinna_jp_3_6b_jpfull30	88	0.5301204819277109	0.43013071607763753	39	56	0.6964285714285714	0.6266666666666667	0.6626506024096386
5	gemma,gpt_oss_20b,haiku,ministral,rinna_jp_3_6b_jpfull30	88	0.5301204819277109	0.43040647545310573	62	103	0.6019417475728155	0.5175368445104536	0.37951807228915657
10	gemma,gpt_oss_20b,granite,haiku,ministral,qwen,rinna_bilingual_4b,rinna_bilingual_4b_jpfull30,rinna_jp_3_6b,rinna_jp_3_6b_jpfull30	88	0.5301204819277109	0.42998018930222326	25	32	0.78125	0.7189460476787954	0.8072289156626506
10	gemma,gpt_oss_20b,granite,haiku,ministral,qwen,rinna_bilingual_4b,rinna_bilingual_4b_jpfull30,rinna_jp_3_6b,rinna_jp_3_6b_jpfull	88	0.5301204819277109	0.43055677720116114	23	31	0.7419354838709677	0.6770833333333334	0.8132530120481928
7	gemma,gpt_oss_20b,granite,qwen,rinna_jp_3_6b,rinna_jp_3_6b_jp,rinna_jp_3_6b_jpfull	88	0.5301204819277109	0.4299550937747645	30	40	0.75	0.6930161166538756	0.7590361445783133
8	gemma,gpt_oss_20b,granite,haiku,ministral,rinna_bilingual_4b,rinna_jp_3_6b,rinna_jp_3_6b_jp	88	0.5301204819277109	0.4299550937747646	29	38	0.7631578947368421	0.6992084432717678	0.7710843373493976
5	gemma,gpt_oss_20b,haiku,ministral,rinna_bilingual_4b_jpfull	88	0.5301204819277109	0.4317064606741574	57	92	0.6195652173913043	0.541049030786773	0.4457831325301205
