first_word	source_model	cell_count	sm_HP	sm_LP	sm_HN-D	sm_HN-S	sm_LN	sm_NB	modal_sm	jsd_vs_gt	sim_vs_gt	modal_gt	gt_emit	jsd_vs_pooled	sim_vs_pooled
(ಠ_ಠ)	claude-opus-4-7	1	0.0	1.0	0.0	0.0	0.0	0.0	LP				0	0.4102	0.4082
(｡♥‿♥｡)	claude-opus-4-7	13	0.0	1.0	0.0	0.0	0.0	0.0	LP	0.226	0.6739	LP	27	0.0125	0.9819
(｡♥‿♥｡)	codex-hook	1	0.5	0.5	0.0	0.0	0.0	0.0	HP	0.0727	0.8952	LP	27	0.1575	0.7728
(✧ω✧)	claude-opus-4-7	12	1.0	0.0	0.0	0.0	0.0	0.0	HP				0	0.0135	0.9805
(✧ω✧)	claude-opus-4-6	1	0.5	0.5	0.0	0.0	0.0	0.0	HP				0	0.1544	0.7772
(눈_눈)	claude-opus-4-7	7	0.0	0.5	0.0	0.0	0.0	0.5	LP				0	0.0435	0.9373
(눈_눈)	claude-opus-4-6	4	0.0	0.5	0.0	0.0	0.0	0.5	LP				0	0.0435	0.9373
(눈_눈)	gpt-5.4	1	0.0	0.0	1.0	0.0	0.0	0.0	HN-D				0	0.5505	0.2057
(눈_눈)	gpt-5.5	1	0.0	0.0	0.0	1.0	0.0	0.0	HN-S				0	0.6084	0.1223
(＾∇＾)	claude-opus-4-7	12	0.5	0.5	0.0	0.0	0.0	0.0	HP				0	0.0	1.0
(＾∇＾)	codex-hook	1	0.5	0.5	0.0	0.0	0.0	0.0	HP				0	0.0	1.0
(;・∀・)	claude-opus-4-7	8	0.0	0.5	0.0	0.0	0.0	0.5	LP				0	0.081	0.8831
(;・∀・)	codex-hook	3	0.0	0.5	0.0	0.5	0.0	0.0	LP				0	0.174	0.749
(;・∀・)	gpt-5.5	1	0.0	0.0	0.5	0.5	0.0	0.0	HN-D				0	0.4322	0.3764
(;´д`)	claude-opus-4-7	8	0.0	1.0	0.0	0.0	0.0	0.0	LP				0	0.1053	0.8481
(;´д`)	codex-hook	3	0.0	0.0	0.5	0.5	0.0	0.0	HN-D				0	0.3625	0.477
(｡・́‿・̀｡)	claude-opus-4-7	11	0.0	1.0	0.0	0.0	0.0	0.0	LP	0.3182	0.5409	NB	3	0.0	1.0
(⊙_⊙)	claude-opus-4-7	8	0.0	1.0	0.0	0.0	0.0	0.0	LP				0	0.036	0.9481
(⊙_⊙)	claude-opus-4-6	1	0.0	1.0	0.0	0.0	0.0	0.0	LP				0	0.036	0.9481
(⊙_⊙)	gpt-5.5	1	0.0	0.0	0.5	0.5	0.0	0.0	HN-D				0	0.5256	0.2417
(￣ω￣)	claude-opus-4-7	6	0.5	0.5	0.0	0.0	0.0	0.0	HP				0	0.0186	0.9732
(￣ω￣)	claude-opus-4-6	3	0.5	0.5	0.0	0.0	0.0	0.0	HP				0	0.0186	0.9732
(￣ω￣)	codex-hook	1	0.0	0.0	0.0	0.0	0.0	1.0	NB				0	0.5886	0.1508
(;￣д￣)	claude-opus-4-7	8	0.0	0.0	0.5	0.5	0.0	0.0	HN-D				0	0.0401	0.9421
(;￣д￣)	gpt-5.5	1	0.0	1.0	0.0	0.0	0.0	0.0	LP				0	0.5125	0.2606
(˘・_・˘)	claude-opus-4-7	6	0.0	1.0	0.0	0.0	0.0	0.0	LP				0	0.0	1.0
(˘・_・˘)	codex-hook	3	0.0	1.0	0.0	0.0	0.0	0.0	LP				0	0.0	1.0
(‿‿‿✿)	claude-opus-4-7	7	0.0	0.5	0.0	0.0	0.0	0.5	LP	0.2158	0.6887	LP	4	0.0063	0.991
(‿‿‿✿)	codex-hook	2	0.0	1.0	0.0	0.0	0.0	0.0	LP	0.0	1.0	LP	4	0.1585	0.7714
(≧▽≦)	claude-opus-4-7	7	0.5	0.5	0.0	0.0	0.0	0.0	HP	0.2158	0.6887	HP	10	0.0004	0.9994
(≧▽≦)	codex-hook	1	1.0	0.0	0.0	0.0	0.0	0.0	HP	0.0	1.0	HP	10	0.1999	0.7116
(≧▽≦)	gpt-5-4-thinking	1	0.5	0.5	0.0	0.0	0.0	0.0	HP	0.2158	0.6887	HP	10	0.0004	0.9994
(◕‿◕✨)	claude-opus-4-7	9	0.5	0.5	0.0	0.0	0.0	0.0	HP				0	0.0	1.0
(◞‸◟)	claude-opus-4-7	9	0.0	1.0	0.0	0.0	0.0	0.0	LP				0	0.0	1.0
ʕ・ᴥ・ʔ	claude-opus-4-7	9	1.0	0.0	0.0	0.0	0.0	0.0	HP				0	0.0	1.0
(๑˃‿˂)	claude-opus-4-7	8	0.6667	0.3333	0.0	0.0	0.0	0.0	HP				0	0.0	1.0
(ᵔᴥᵔ)	claude-opus-4-7	6	0.0	1.0	0.0	0.0	0.0	0.0	LP				0	0.0523	0.9246
(ᵔᴥᵔ)	gpt-5-4-thinking	2	0.0	0.0	0.0	0.0	0.0	1.0	NB				0	0.4778	0.3106
(◜‿◝)	claude-opus-4-7	7	0.0	1.0	0.0	0.0	0.0	0.0	LP				0	0.0454	0.9345
(◜‿◝)	gpt-5-5-thinking	1	0.0	0.0	0.5	0.5	0.0	0.0	HN-D				0	0.4969	0.2831
(￣ヘ￣;)	claude-opus-4-7	7	0.5	0.5	0.0	0.0	0.0	0.0	HP				0	0.002	0.9972
(￣ヘ￣;)	codex-hook	1	0.0	1.0	0.0	0.0	0.0	0.0	LP				0	0.1827	0.7365
(´・‿・`)	claude-opus-4-7	7	0.0	1.0	0.0	0.0	0.0	0.0	LP				0	0.0	1.0
(˃‿˂)	claude-opus-4-7	6	1.0	0.0	0.0	0.0	0.0	0.0	HP				0	0.0254	0.9633
(˃‿˂)	codex-hook	1	0.5	0.5	0.0	0.0	0.0	0.0	HP				0	0.123	0.8225
(˶ᵔ‿ᵔ˶)	claude-opus-4-7	7	0.0	1.0	0.0	0.0	0.0	0.0	LP				0	0.0	1.0
(ᵔ‿ᵔ)	gpt-5.5	5	0.0	1.0	0.0	0.0	0.0	0.0	LP				0	0.0274	0.9604
(ᵔ‿ᵔ)	claude-opus-4-6	1	0.5	0.5	0.0	0.0	0.0	0.0	HP				0	0.1186	0.8289
(ᵔ‿ᵔ)	claude-opus-4-7	1	0.0	1.0	0.0	0.0	0.0	0.0	LP				0	0.0274	0.9604
(╭ರ_・́)	claude-opus-4-7	6	1.0	0.0	0.0	0.0	0.0	0.0	HP				0	0.0254	0.9633
(╭ರ_・́)	codex-hook	1	0.5	0.5	0.0	0.0	0.0	0.0	HP				0	0.123	0.8225
