first_word	n	warmth	energy	confidence	playfulness	empathy	technicality	positivity	curiosity	approval	apologeticness	decisiveness	wryness	wetness	surprise	anger	frustration	hatefulness	sadness	hope	aggression	exhaustion
(づ｡◕‿‿◕｡)	3	0.1820065561653861	0.25674216700900626	0.1330568963115097	0.0928014794730946	-0.0007596090902682516	-0.180999834560693	0.4088917519096003	-0.008019440947605313	0.0552264113698615	-0.17711593585321253	-0.037855611852552526	-0.1864570831885251	0.05038047347963192	-0.014954327639150259	-0.04362857586803623	-0.06963825050047873	-0.023917626107253388	-0.25365393756939086	0.2781705320232548	0.0014823419690587298	0.007235923758250435
(ノ◕ヮ◕)	3	0.18598162084889516	0.05969346210384234	0.1833023737501756	-0.05689455143613826	0.039818997302781205	-0.13524999995669523	0.3362777288852932	-0.04314746065290537	0.09565984433942469	-0.11800528854065531	-0.028098075598105	-0.17261712866861423	0.006454107428985479	0.040229564627647464	-0.040068572839208665	-0.08246847932604684	-0.027845756196861988	-0.1388814195657986	0.24313699452827564	0.02043317966644342	-0.023871958238708135
(｡・́︿・̀｡)	3	0.10033749284382978	0.06102000895182195	0.04133889709646839	0.1803820210557174	-0.027203044994841434	-0.2165734260224032	0.17382497891518006	-0.04455962243501966	0.02101699579330751	-0.09879287097821769	-0.026530027926021167	0.005729179951196248	0.04540140679781889	0.08463425214653775	0.024772200453113836	0.029353067774100003	0.08256656929096937	-0.15036251638615503	0.0998601109661686	0.06568066079391383	-0.03437772314411737
(ﾉωﾉ)	3	0.21710835801963557	0.08124011393258256	0.1330147023913765	0.18434777497001312	0.03887376881583522	-0.25951296429454174	0.32589248765037787	-0.07879364607126368	0.07654990149863339	-0.12046839898993163	-0.053570620074928715	-0.04896915647131556	-0.07624465046435532	0.10452017803386665	-0.021515340554933385	0.07618293851116716	0.07525040137013923	-0.17309986053241558	0.2467311879709841	0.09469779001586703	-0.030650529629347428
(￣ヘ￣;)	3	-0.13327749077172693	0.030969667064577953	-0.1446048802963911	0.03718931560599028	-0.10718491517063285	-0.09686404648101019	0.007371205269780144	-0.005003917714858989	-0.04326690428938415	-0.11861419581434382	-0.08480861374838557	0.06015801469315095	-0.05921521183116425	-0.011968520809879809	-0.004543683633873026	0.11582867046377743	0.16546479485416832	-0.05840856746655734	0.10898708993269823	0.10605761997344884	-0.046868233861138926
ヽ(´ー`)ノ	3	0.19336407623331145	0.10391103894765763	0.05213539972309387	0.10065616554794736	0.036437114039961	-0.20501009072811355	0.25782549889985346	0.05739778594671987	0.08849860802781502	-0.13294846364821994	0.005269838347409374	-0.16783872337784964	-0.08450571657908433	-0.01864217862727063	-0.031133836527690917	0.018683697631057122	-0.029125550087917562	-0.2139407464138812	0.28184984957222087	-0.020218917321247087	-0.016762550312216275
ヽ(・∀・)ﾉ	3	0.13883457080052783	0.08371166414018089	0.055435292640276204	0.08533066516523072	-0.01442270466632427	-0.15066120275707373	0.22632317684378858	0.08647037508080717	0.10100386441099417	-0.07676150786959762	-0.04067431030797332	-0.12010654158372006	-0.13100124160914553	0.08358605864914675	-0.01504671236029058	0.026281023170733064	-0.0017004276793164783	-0.16149421429403427	0.1901225093645146	0.03998223559171927	-0.07579745152990354
ヾ(＾∇＾)	3	0.04388644793159412	0.08717962548197052	0.12269829356962934	-0.02341058603417362	-0.019407092081567094	0.009505107561960022	0.23920518802651375	-0.031054395794080966	0.13083708428400082	-0.10824520109863536	0.014445336446079027	-0.044802873445596	-0.09066839753014268	-0.0014133936615105505	-0.044244592986559875	-0.06982727633238527	0.03141285398053287	-0.15326034147328785	0.09963631168639295	-0.017233988505924	-0.03738156014883242
(-_-;)	2	-0.04561574071473698	-0.08382950691027517	-0.08117710526953295	-0.05357537838655301	-0.12341582996614867	-0.06939412026844682	0.07920174779172066	0.15430412918755373	-0.040737468243448434	-0.07630556904304436	0.03108964919745901	-0.034926113130609414	-0.10754791408734131	-0.06481486913088112	-0.018541977861998585	0.06393250143405965	0.13533011348302806	-0.07613756877287783	0.23637898186331074	0.08565962125656496	-0.12320881308615733
(=^・ω・^=)	2	0.10678894907217513	0.04797811864920666	0.026530137189774657	0.07648943516913896	0.08401228943208651	-0.17842660117833875	0.27136771044796293	0.07307140130683301	0.20833752440858166	-0.10098215603808741	0.006712761419295903	-0.13543588967163792	-0.2979526214516012	0.03065373718568324	-0.06814047449726683	0.07469311424575885	-0.13653948142551983	-0.12647738364961428	0.3079733527405725	-0.05752358447630876	-0.006079543602301009
