project_slug	axis	n	mean	std
saklas	hope	164	0.020719120278954506	0.057516761124134064
saklas	aggression	164	-0.020529652014374733	0.05529966205358505
saklas	exhaustion	164	-0.0470084473490715	0.0655006691813469
shoals	warmth	23	-0.012559098191559315	0.04895288869738579
shoals	energy	23	0.020191537216305733	0.05783574655652046
shoals	confidence	23	0.0003604373778216541	0.06373364478349686
shoals	playfulness	23	-0.014242633245885372	0.049384649842977524
shoals	empathy	23	0.02865011803805828	0.05070221796631813
shoals	technicality	23	-0.002751819556578994	0.045717913657426834
shoals	positivity	23	0.012714223936200142	0.056023210287094116
shoals	curiosity	23	0.04188508540391922	0.058313846588134766
shoals	approval	23	0.05201878398656845	0.06094694882631302
shoals	apologeticness	23	-0.03451723977923393	0.05307893455028534
shoals	decisiveness	23	0.0024395198561251163	0.049034662544727325
shoals	wryness	23	-0.0065063233487308025	0.05699465051293373
shoals	wetness	23	-0.06727831065654755	0.06442577391862869
shoals	surprise	23	-0.10015306621789932	0.072630375623703
shoals	anger	23	-0.026650508865714073	0.04387364536523819
shoals	frustration	23	0.009931948967278004	0.053589433431625366
shoals	hatefulness	23	-0.03129963204264641	0.04434358701109886
shoals	sadness	23	-0.032648347318172455	0.04322214052081108
shoals	hope	23	0.03857496380805969	0.056837763637304306
shoals	aggression	23	-0.010082035325467587	0.07266926765441895
shoals	exhaustion	23	-0.03703230991959572	0.060753434896469116
