size	encoders	mean_jsd	similarity	mean_jsd_weighted	similarity_weighted	accuracy	n_correct	kappa
7	bol,gemma,gemma_intro_v7_primed,granite,haiku,opus,qwen	0.13549216233801026	0.8045261293156303	0.09121625562634385	0.8684027603594138	0.7962962962962963	43	0.7430795847750865
4	gemma_intro_v7_primed,gpt_oss_20b,granite,opus	0.1354964662001876	0.8045199201550103	0.0874343485817622	0.8738588988977347	0.7407407407407407	40	0.6723016905071522
4	gemma,gpt_oss_20b,granite,opus	0.1356404494003684	0.8043121963061381	0.08690135087918946	0.8746278520400416	0.7962962962962963	43	0.7430795847750865
6	gemma,gemma_intro_v7_primed,granite,ministral,opus,rinna_jp_3_6b_jp	0.13564078319411502	0.8043117147435552	0.08366938162865271	0.8792905980500966	0.7407407407407407	40	0.6731517509727627
6	bol,gemma,gemma_intro_v7_primed,ministral,opus,qwen	0.1356532642019898	0.804293708455389	0.08597255539835087	0.8759678206742475	0.7407407407407407	40	0.6749785038693035
6	gemma,gemma_intro_v7_primed,gpt_oss_20b,granite,opus,rinna_jp_3_6b_jp	0.1356979005570573	0.8042293118072897	0.08780741448072003	0.8733206785753834	0.7592592592592593	41	0.6974137931034483
3	gemma,opus,qwen	0.1357259666910492	0.8041888209349627	0.07747207251213815	0.888231425179348	0.7222222222222222	39	0.6525096525096525
2	gemma_intro_v7_primed,gpt_oss_20b	0.13580247876167637	0.8040784373501008	0.08556838184905768	0.8765509198494713	0.6666666666666666	36	0.5862068965517242
6	gemma,gemma_intro_v7_primed,haiku,ministral,opus,rinna_bilingual_4b	0.13581061694281196	0.8040666964365346	0.07810804686895587	0.8873139081286346	0.7037037037037037	38	0.6287064890416846
6	bol,gemma,gemma_intro_v7_primed,haiku,opus,qwen	0.1358282843276322	0.804041207788069	0.08999486376125519	0.8701648563461593	0.7592592592592593	41	0.6955767562879445
5	bol,gemma,gemma_intro_v7_primed,granite,ministral	0.1358348141019822	0.804031787314996	0.0988757355134141	0.8573524667105488	0.7962962962962963	43	0.7430795847750865
4	gemma,gemma_intro_v7_primed,granite,qwen	0.13585911794146024	0.8039967242863065	0.08607459118067491	0.8758206141570954	0.7407407407407407	40	0.6748387096774193
7	gemma,gemma_intro_v7_primed,gpt_oss_20b,granite,haiku,opus,rinna_jp_3_6b_jp	0.1358961834946795	0.8039432499964893	0.08655507737271129	0.8751274191106289	0.7407407407407407	40	0.6739974126778785
5	bol,gemma,gemma_intro_v7_primed,granite,haiku	0.13592470273855256	0.8039021054247837	0.11179957543441055	0.8387073069472843	0.7962962962962963	43	0.7434125269978402
2	gemma,haiku	0.1359894968855509	0.8038086272302306	0.0968233281308067	0.8603134646633204	0.7037037037037037	38	0.630453378956373
6	bol,gemma,gemma_intro_v7_primed,gpt_oss_20b,haiku,ministral	0.13599663736684603	0.8037983256932766	0.08751838519911533	0.8737376596866262	0.7407407407407407	40	0.6751181779114741
5	bol,gemma,gemma_intro_v7_primed,gpt_oss_20b,haiku	0.13608312716828538	0.8036735472856525	0.09748920384482236	0.8593528090728615	0.7407407407407407	40	0.6746987951807228
4	gemma_intro_v7_primed,granite,ministral,opus	0.13620705376354408	0.8034947590012385	0.0815955563154049	0.8822824955451892	0.7222222222222222	39	0.6462882096069869
6	gemma,gemma_intro_v7_primed,gpt_oss_20b,haiku,opus,rinna_jp_3_6b_jp	0.13621294357514152	0.8034862617992551	0.08501815248970333	0.8773447330175633	0.7037037037037037	38	0.6290253327608416
5	gemma,gemma_intro_v7_primed,haiku,ministral,qwen	0.13622119099898158	0.8034743632817809	0.07626140334259988	0.8899780515863981	0.7037037037037037	38	0.6307692307692307
5	gemma,gpt_oss_20b,granite,haiku,opus	0.13625937931861662	0.8034192691824236	0.08573970493253479	0.876303752886549	0.7592592592592593	41	0.6953125
2	gemma_intro_v7_primed,ministral	0.13632707662187993	0.8033216026187241	0.07869708496623348	0.8864641057867976	0.6851851851851852	37	0.6093617021276596
5	gemma,gemma_intro_v7_primed,granite,haiku,rinna_jp_3_6b_jp	0.13639550179809456	0.8032228859563273	0.0944889090116485	0.8636813195498863	0.7407407407407407	40	0.6755364806866953
5	gemma_intro_v7_primed,gpt_oss_20b,granite,haiku,opus	0.13649657227242784	0.8030770720842264	0.08645697273616533	0.875268954183262	0.7222222222222222	39	0.6488946684005201
7	gemma,gemma_intro_v7_primed,granite,haiku,ministral,opus,rinna_jp_3_6b	0.1365463907126384	0.8030051992675897	0.07764339075537846	0.8879842651994115	0.7592592592592593	41	0.6966292134831461
2	gemma,gpt_oss_20b	0.1365588196017119	0.8029872681709597	0.08325361531291083	0.8798904220519861	0.6851851851851852	37	0.6095278604849
